uid,gender,score,is_habit_drink,is_habit_smoke,is_subscribed,A,B,C,D,E
243,F,63,2,2,0,1.0,8.0,2.0,10.0,6.0
245,F,107,0,0,1,1.0,8.0,10.0,44.0,44.0
246,F,278,2,0,0,1.0,8.0,10.0,44.0,44.0
247,F,383,2,2,0,41.0,2.0,62.0,46.0,44.0
248,F,91,2,0,1,1.0,8.0,10.0,44.0,44.0
249,F,182,0,0,0,22.0,3.0,65.0,44.0,17.0
25,F,121,2,2,0,34.0,31.0,30.0,67.0,73.0
250,F,137,0,0,0,42.0,16.0,44.0,44.0,44.0
252,F,203,0,0,0,22.0,63.0,2.0,24.0,44.0
253,F,145,3,3,1,1.0,8.0,10.0,44.0,44.0
256,F,107,2,0,0,15.0,50.0,67.0,48.0,53.0
257,F,98,2,0,0,1.0,8.0,10.0,44.0,44.0
258,F,33,0,0,0,10.0,50.0,12.0,37.0,8.0
26,F,193,2,0,0,42.0,28.0,11.0,68.0,70.0
260,F,107,0,0,0,22.0,15.0,50.0,51.0,0.0
261,F,249,0,0,0,1.0,21.0,22.0,20.0,17.0
262,F,201,3,3,1,1.0,8.0,10.0,44.0,44.0
263,F,127,1,1,0,43.0,53.0,2.0,42.0,62.0
264,F,126,2,0,0,1.0,8.0,10.0,44.0,44.0
265,F,90,2,0,0,1.0,8.0,10.0,44.0,44.0
266,F,111,2,2,0,10.0,2.0,11.0,46.0,29.0
267,A,141,0,0,0,8.0,10.0,24.0,37.0,76.0
268,F,55,0,0,0,1.0,18.0,22.0,10.0,28.0
27,F,61,0,2,0,10.0,76.0,29.0,24.0,14.0
270,F,104,2,2,0,1.0,8.0,10.0,44.0,44.0
271,M,-21,2,0,0,20.0,69.0,55.0,24.0,22.0
272,F,68,0,0,0,1.0,8.0,42.0,34.0,48.0
274,F,208,3,3,1,1.0,8.0,10.0,44.0,44.0
275,A,9,3,3,1,1.0,8.0,10.0,44.0,44.0
276,F,171,2,2,0,1.0,8.0,68.0,60.0,50.0
277,F,170,0,0,0,1.0,0.0,5.0,21.0,8.0
278,M,106,2,0,0,1.0,8.0,10.0,44.0,44.0
279,F,87,2,0,0,1.0,11.0,56.0,6.0,30.0
28,F,38,0,0,0,1.0,8.0,10.0,44.0,44.0
280,F,188,0,0,0,1.0,2.0,3.0,44.0,30.0
281,F,138,2,0,0,18.0,22.0,10.0,44.0,44.0
282,F,147,2,2,0,22.0,38.0,31.0,17.0,20.0
284,F,342,0,0,0,3.0,8.0,10.0,44.0,44.0
285,F,128,2,0,0,31.0,52.0,44.0,51.0,15.0
286,F,137,1,1,0,22.0,2.0,10.0,44.0,45.0
287,F,139,3,3,0,1.0,8.0,10.0,44.0,44.0
288,F,228,2,2,0,1.0,2.0,10.0,39.0,35.0
289,F,168,0,0,0,1.0,8.0,10.0,44.0,44.0
29,F,176,0,0,1,1.0,45.0,68.0,6.0,67.0
291,F,895,0,0,0,3.0,24.0,34.0,11.0,8.0
292,F,180,2,2,0,1.0,8.0,10.0,44.0,44.0
293,F,88,2,0,0,1.0,8.0,68.0,53.0,9.0
294,F,118,0,2,0,8.0,22.0,21.0,18.0,45.0
295,F,101,0,2,0,1.0,8.0,10.0,76.0,44.0
296,F,233,3,3,1,1.0,8.0,10.0,44.0,44.0
297,F,141,3,3,1,1.0,8.0,10.0,44.0,44.0
299,F,122,2,2,0,1.0,8.0,21.0,22.0,0.0
3,F,181,2,2,0,42.0,3.0,53.0,14.0,24.0
300,F,158,2,0,0,8.0,38.0,58.0,13.0,49.0
303,F,201,2,0,0,2.0,34.0,11.0,70.0,46.0
304,F,90,1,1,0,1.0,8.0,10.0,44.0,44.0
305,F,97,3,3,1,1.0,8.0,10.0,44.0,44.0
306,F,206,3,3,1,1.0,8.0,10.0,44.0,44.0
308,F,270,2,2,0,15.0,17.0,21.0,46.0,36.0
309,F,131,2,2,0,0.0,22.0,3.0,44.0,69.0
31,F,178,2,0,0,22.0,2.0,31.0,44.0,53.0
310,F,106,3,3,1,1.0,8.0,10.0,44.0,44.0
311,F,92,2,2,0,10.0,2.0,39.0,28.0,64.0
312,F,189,2,2,0,0.0,2.0,34.0,31.0,58.0
313,F,288,3,3,1,1.0,8.0,10.0,44.0,44.0
314,F,102,1,1,0,44.0,62.0,30.0,37.0,32.0
315,F,646,2,2,0,22.0,8.0,2.0,38.0,67.0
316,F,185,0,0,0,8.0,5.0,22.0,0.0,44.0
317,A,94,3,3,1,1.0,8.0,10.0,44.0,44.0
318,F,205,3,3,1,1.0,8.0,10.0,44.0,44.0
319,F,185,0,0,0,1.0,8.0,10.0,44.0,44.0
32,F,82,0,0,0,8.0,12.0,50.0,17.0,70.0
320,F,270,0,0,0,1.0,8.0,10.0,44.0,44.0
326,F,178,2,0,0,45.0,2.0,11.0,58.0,62.0
327,F,205,3,3,1,1.0,8.0,10.0,44.0,44.0
328,F,124,0,0,0,46.0,37.0,23.0,25.0,74.0
329,F,121,2,1,0,10.0,3.0,8.0,9.0,51.0
33,F,238,3,3,1,1.0,8.0,10.0,44.0,44.0
331,F,57,2,2,0,1.0,9.0,17.0,35.0,28.0
332,F,143,0,0,0,30.0,48.0,10.0,44.0,44.0
333,F,159,2,0,0,31.0,45.0,30.0,25.0,27.0
334,F,106,2,2,0,47.0,15.0,20.0,67.0,25.0
336,F,190,0,2,0,1.0,8.0,10.0,44.0,44.0
337,F,225,0,0,0,1.0,8.0,10.0,44.0,44.0
338,F,477,1,1,0,22.0,19.0,43.0,31.0,6.0
339,F,124,2,0,0,2.0,42.0,66.0,37.0,53.0
34,F,157,0,0,1,1.0,8.0,10.0,44.0,44.0
340,F,187,0,0,0,1.0,8.0,10.0,44.0,44.0
341,F,332,2,2,0,39.0,64.0,26.0,69.0,44.0
342,F,76,0,1,0,1.0,8.0,10.0,44.0,44.0
344,F,128,2,0,0,0.0,21.0,18.0,2.0,7.0
345,F,184,2,1,0,8.0,10.0,29.0,44.0,44.0
346,F,398,3,3,1,1.0,8.0,10.0,44.0,44.0
347,F,196,0,0,0,24.0,57.0,20.0,66.0,19.0
348,F,157,1,0,0,1.0,5.0,18.0,44.0,44.0
350,F,105,0,0,0,1.0,8.0,10.0,44.0,44.0
